user_id,result,ip,user_agent,occurred_at
14,FAILED,172.166.90.58,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-04-04T18:33:15.408815+00:00
14,SUCCESS,200.61.25.73,Mozilla/5.0 (Linux; Android 14),2025-08-04T18:53:52.408815+00:00
15,FAILED,156.140.213.207,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-06-01T04:41:13.409314+00:00
15,FAILED,55.253.70.18,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-09-21T19:02:27.409314+00:00
15,FAILED,55.38.52.73,Mozilla/5.0 (Linux; Android 14),2025-11-06T08:45:30.409314+00:00
15,SUCCESS,205.221.110.159,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-12-27T13:17:16.409314+00:00
16,SUCCESS,218.109.254.222,Mozilla/5.0 (Linux; Android 14),2025-11-03T21:48:50.409314+00:00
16,FAILED,203.226.124.172,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-06-04T02:54:48.409314+00:00
16,FAILED,121.233.178.80,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-02-28T06:12:11.409314+00:00
17,FAILED,154.77.67.140,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-08-01T04:16:25.409314+00:00
17,SUCCESS,4.244.222.67,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-05-16T04:54:22.409314+00:00
18,SUCCESS,83.9.94.127,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-03-12T04:05:14.409314+00:00
18,FAILED,219.142.194.21,Mozilla/5.0 (Linux; Android 14),2025-06-06T07:03:53.409314+00:00
18,SUCCESS,50.14.144.148,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-09-26T06:55:49.409314+00:00
19,FAILED,57.179.137.181,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-11-19T13:25:04.409314+00:00
20,FAILED,167.51.176.239,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2026-01-23T17:19:03.409314+00:00
20,FAILED,177.101.241.146,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2026-02-06T15:42:15.409314+00:00
20,FAILED,196.166.224.66,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-12-13T03:28:34.409314+00:00
20,SUCCESS,206.25.188.222,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-09-13T21:54:12.409314+00:00
21,SUCCESS,50.121.27.214,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-09-11T21:19:05.409814+00:00
22,FAILED,58.155.194.23,Mozilla/5.0 (Linux; Android 14),2025-02-22T06:55:56.409814+00:00
22,SUCCESS,120.49.166.78,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-04-18T21:43:12.409814+00:00
23,FAILED,160.42.27.146,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-06-16T18:15:52.409814+00:00
23,SUCCESS,12.42.70.136,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-11-06T11:29:03.409814+00:00
23,FAILED,53.237.215.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-10-23T11:49:05.409814+00:00
24,SUCCESS,81.30.58.213,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-12-14T13:17:52.409814+00:00
25,SUCCESS,70.65.147.45,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-05-08T12:53:29.409814+00:00
26,FAILED,91.8.231.189,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2026-02-10T19:54:17.409814+00:00
26,FAILED,211.56.173.90,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-04-18T07:10:34.409814+00:00
27,SUCCESS,204.25.175.196,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2026-02-04T08:20:33.409814+00:00
27,FAILED,76.211.113.68,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-06-06T11:55:46.409814+00:00
28,SUCCESS,128.2.252.147,Mozilla/5.0 (Linux; Android 14),2025-05-08T16:27:02.409814+00:00
29,FAILED,203.97.149.126,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-09-11T09:22:16.410314+00:00
30,FAILED,202.128.207.243,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-03-04T20:11:44.410314+00:00
30,SUCCESS,172.207.213.242,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2026-02-08T17:19:29.410314+00:00
30,SUCCESS,196.98.116.218,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-07-17T04:46:32.410314+00:00
30,FAILED,168.60.38.56,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-12-08T16:01:53.410314+00:00
31,SUCCESS,5.100.12.191,Mozilla/5.0 (Linux; Android 14),2025-08-30T03:56:15.410314+00:00
32,SUCCESS,197.212.214.105,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-09-07T01:01:18.410314+00:00
32,SUCCESS,157.13.154.53,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-08-26T13:03:37.410314+00:00
32,FAILED,219.187.78.194,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-12-21T14:33:35.410314+00:00
33,FAILED,148.238.64.16,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-04-17T00:54:46.410314+00:00
34,FAILED,85.47.219.12,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-09-07T08:38:38.410314+00:00
34,SUCCESS,95.137.252.27,Mozilla/5.0 (Linux; Android 14),2026-01-15T12:30:57.410314+00:00
34,SUCCESS,29.168.64.10,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-12-24T11:13:17.410314+00:00
34,SUCCESS,40.98.143.64,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2026-01-13T17:40:17.410314+00:00
35,FAILED,201.216.232.93,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-10-30T07:38:13.410314+00:00
35,FAILED,159.60.237.139,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-06-13T23:33:57.410314+00:00
35,SUCCESS,71.36.138.108,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-03-21T18:31:50.410314+00:00
36,SUCCESS,154.191.142.165,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-09-08T23:13:21.410314+00:00
36,FAILED,213.82.176.161,Mozilla/5.0 (Linux; Android 14),2025-09-07T18:20:33.410314+00:00
36,SUCCESS,138.136.16.132,Mozilla/5.0 (Linux; Android 14),2025-10-31T06:55:54.410314+00:00
36,FAILED,136.78.225.237,Mozilla/5.0 (Linux; Android 14),2025-11-04T08:27:07.410314+00:00
37,FAILED,192.203.154.91,Mozilla/5.0 (Linux; Android 14),2025-04-21T20:39:13.410314+00:00
37,SUCCESS,170.128.111.61,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2026-01-12T11:56:41.410314+00:00
38,SUCCESS,210.169.67.134,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-04-01T14:25:01.410314+00:00
39,FAILED,125.60.57.188,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-12-06T13:33:37.410314+00:00
39,SUCCESS,107.126.8.230,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-06-02T03:44:30.410314+00:00
40,FAILED,138.88.14.88,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-09-23T12:30:00.411325+00:00
40,SUCCESS,198.27.54.157,Mozilla/5.0 (Linux; Android 14),2025-12-12T10:51:02.411325+00:00
40,FAILED,84.157.163.57,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-10-09T07:06:33.411325+00:00
40,SUCCESS,39.101.166.186,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-06-07T16:11:47.411325+00:00
41,FAILED,214.77.200.121,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-08-26T11:16:41.411325+00:00
41,FAILED,200.69.80.78,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-11-05T06:26:41.411325+00:00
42,FAILED,184.36.78.73,Mozilla/5.0 (Linux; Android 14),2025-06-30T17:12:25.411325+00:00
42,FAILED,191.28.231.92,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-09-20T20:06:54.411325+00:00
42,FAILED,213.114.74.58,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-12-12T11:48:47.411325+00:00
42,FAILED,183.217.155.89,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-10-16T01:00:53.411325+00:00
43,FAILED,209.116.241.199,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-07-29T23:04:53.411325+00:00
43,FAILED,77.194.64.129,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-04-05T06:20:37.411325+00:00
44,FAILED,208.134.80.138,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2026-01-18T17:56:50.411832+00:00
44,FAILED,178.94.103.249,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-03-20T06:50:34.411832+00:00
44,SUCCESS,157.212.76.71,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-04-14T21:17:16.411832+00:00
45,SUCCESS,216.183.112.249,Mozilla/5.0 (Linux; Android 14),2025-05-08T14:54:34.411832+00:00
45,SUCCESS,5.71.98.233,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-05-05T23:17:05.411832+00:00
45,SUCCESS,167.172.92.181,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-10-28T04:45:26.411832+00:00
45,FAILED,89.203.13.94,Mozilla/5.0 (Linux; Android 14),2025-10-12T04:03:32.411832+00:00
46,FAILED,28.144.221.141,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-06-02T21:00:03.411832+00:00
46,SUCCESS,66.28.252.231,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-10-23T03:20:14.411832+00:00
46,SUCCESS,169.201.172.181,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-08-13T17:23:49.411832+00:00
46,FAILED,148.191.17.131,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-05-03T13:10:30.411832+00:00
47,SUCCESS,55.130.141.47,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2026-01-17T06:46:37.412334+00:00
47,FAILED,23.137.196.108,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-07-08T07:27:29.412334+00:00
47,FAILED,139.21.193.201,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-10-30T02:59:29.412334+00:00
48,SUCCESS,55.99.134.97,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-04-06T16:47:03.412334+00:00
48,SUCCESS,65.184.75.173,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-03-04T22:31:34.412334+00:00
48,SUCCESS,12.168.86.169,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-06-02T08:39:52.412334+00:00
48,FAILED,17.182.38.138,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-07-24T12:22:22.412334+00:00
49,FAILED,191.33.69.213,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-07-08T14:11:00.412334+00:00
50,SUCCESS,32.53.66.37,Mozilla/5.0 (Linux; Android 14),2025-03-12T08:14:24.412334+00:00
50,SUCCESS,209.205.206.195,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-09-10T23:36:06.412334+00:00
51,SUCCESS,173.183.188.122,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-12-13T08:54:36.412334+00:00
51,SUCCESS,168.252.160.236,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-11-21T21:16:34.412833+00:00
51,SUCCESS,220.120.188.125,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-12-25T00:31:08.412833+00:00
51,SUCCESS,212.155.184.205,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-04-26T08:16:34.412833+00:00
52,FAILED,154.52.109.101,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-07-05T05:56:53.412833+00:00
52,SUCCESS,213.18.194.206,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-05-21T07:21:31.412833+00:00
52,FAILED,33.63.114.175,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-07-01T15:21:53.412833+00:00
52,SUCCESS,176.206.104.110,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-04-21T14:49:41.412833+00:00
53,SUCCESS,168.152.38.89,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-05-16T08:25:04.412833+00:00
54,FAILED,40.190.131.17,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-08-30T04:19:48.412833+00:00
54,FAILED,204.170.35.51,Mozilla/5.0 (Linux; Android 14),2025-03-26T14:40:26.412833+00:00
54,SUCCESS,44.58.169.79,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-11-06T17:28:02.412833+00:00
55,SUCCESS,195.22.167.226,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-04-29T18:40:59.413332+00:00
55,FAILED,61.72.71.207,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-07-14T13:27:02.413332+00:00
55,FAILED,3.106.143.19,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2026-01-10T14:27:10.413332+00:00
55,FAILED,197.175.200.195,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-12-17T00:34:20.413332+00:00
56,FAILED,220.44.195.49,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2026-02-04T21:48:53.413332+00:00
56,FAILED,33.69.171.204,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-03-03T00:14:38.413332+00:00
56,FAILED,204.22.70.167,Mozilla/5.0 (Linux; Android 14),2025-03-21T06:15:04.413332+00:00
57,SUCCESS,168.205.201.199,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2026-01-06T05:09:29.413332+00:00
58,FAILED,183.148.106.140,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-07-14T22:09:30.413332+00:00
58,SUCCESS,64.61.192.162,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-03-30T01:06:15.413332+00:00
58,FAILED,157.57.192.51,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-09-09T03:06:03.413332+00:00
58,SUCCESS,91.34.167.210,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-08-08T13:27:58.413332+00:00
59,SUCCESS,194.206.191.88,Mozilla/5.0 (Linux; Android 14),2025-12-10T09:41:00.413831+00:00
60,FAILED,212.55.184.85,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-07-31T10:55:04.413831+00:00
60,FAILED,31.48.187.237,Mozilla/5.0 (Linux; Android 14),2026-02-04T11:49:22.413831+00:00
60,FAILED,210.44.74.84,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-07-19T11:39:07.413831+00:00
60,SUCCESS,74.80.200.111,Mozilla/5.0 (Linux; Android 14),2025-11-09T04:23:47.413831+00:00
61,FAILED,28.66.94.212,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-03-02T03:10:55.413831+00:00
62,FAILED,39.57.18.20,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-09-08T13:52:40.413831+00:00
62,FAILED,209.55.7.160,Mozilla/5.0 (Linux; Android 14),2025-05-31T14:26:24.413831+00:00
62,SUCCESS,161.78.83.80,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-05-27T03:19:01.413831+00:00
62,SUCCESS,1.234.146.62,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-09-16T03:11:55.413831+00:00
63,SUCCESS,211.90.207.221,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-03-16T01:38:34.413831+00:00
64,SUCCESS,203.21.112.226,Mozilla/5.0 (Linux; Android 14),2025-05-30T03:36:34.414331+00:00
64,FAILED,220.140.232.1,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-05-19T08:07:34.414331+00:00
64,SUCCESS,215.131.244.112,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-09-04T17:47:14.414331+00:00
65,SUCCESS,62.212.253.49,Mozilla/5.0 (Linux; Android 14),2025-08-06T02:33:25.414331+00:00
65,FAILED,215.136.148.138,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-05-15T05:12:23.414331+00:00
65,SUCCESS,152.228.243.94,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-09-10T14:18:38.414331+00:00
66,SUCCESS,61.18.184.6,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-12-30T10:26:49.414331+00:00
67,SUCCESS,176.171.133.104,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-08-29T10:16:22.414331+00:00
67,FAILED,209.131.0.173,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2026-02-01T19:25:55.414331+00:00
67,SUCCESS,36.230.208.123,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2026-01-10T10:47:20.414331+00:00
67,FAILED,201.161.196.142,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-05-28T13:05:04.414331+00:00
68,SUCCESS,136.9.176.138,Mozilla/5.0 (Linux; Android 14),2025-02-22T05:24:48.414331+00:00
68,FAILED,168.21.176.64,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-03-22T07:41:12.414331+00:00
69,SUCCESS,202.54.52.84,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-07-26T13:53:21.414331+00:00
69,SUCCESS,201.66.173.109,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-10-27T08:22:32.414831+00:00
69,SUCCESS,12.99.169.241,Mozilla/5.0 (Linux; Android 14),2025-10-13T14:46:54.414831+00:00
70,FAILED,132.237.2.131,Mozilla/5.0 (Linux; Android 14),2025-07-05T11:50:13.414831+00:00
70,SUCCESS,141.44.238.151,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-11-23T10:00:48.414831+00:00
70,SUCCESS,80.230.37.34,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-08-12T18:31:56.414831+00:00
70,SUCCESS,132.92.54.139,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-08-16T19:00:37.414831+00:00
71,FAILED,166.87.82.9,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-05-18T23:43:47.414831+00:00
71,FAILED,63.101.115.204,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2026-01-25T20:22:58.414831+00:00
71,SUCCESS,219.145.211.100,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-10-08T04:06:53.414831+00:00
72,FAILED,189.171.54.18,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-06-23T16:33:46.414831+00:00
73,SUCCESS,162.44.226.76,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-03-03T04:19:48.414831+00:00
73,SUCCESS,195.117.12.125,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-05-27T02:42:28.414831+00:00
74,FAILED,141.35.138.253,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-08-08T07:16:22.414831+00:00
74,FAILED,13.71.198.81,Mozilla/5.0 (Linux; Android 14),2025-09-12T12:56:19.415331+00:00
74,SUCCESS,74.242.67.50,Mozilla/5.0 (Linux; Android 14),2025-05-01T14:43:03.415331+00:00
74,SUCCESS,153.128.45.154,Mozilla/5.0 (Linux; Android 14),2025-05-02T01:44:29.415331+00:00
75,SUCCESS,36.67.5.208,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2026-02-10T18:30:19.415331+00:00
75,SUCCESS,202.123.97.15,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-07-24T05:48:40.415331+00:00
75,SUCCESS,68.21.224.163,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-10-13T02:29:08.415331+00:00
75,FAILED,152.92.34.17,Mozilla/5.0 (Linux; Android 14),2025-07-14T12:15:34.415331+00:00
76,FAILED,197.113.43.178,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2026-02-05T08:59:50.415331+00:00
77,SUCCESS,51.53.47.161,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-09-21T03:02:08.415331+00:00
77,SUCCESS,218.167.48.160,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-07-06T16:26:08.415331+00:00
77,FAILED,205.117.114.48,Mozilla/5.0 (Linux; Android 14),2025-06-24T10:19:01.415331+00:00
78,FAILED,216.199.223.47,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-10-18T03:52:39.415331+00:00
78,SUCCESS,116.225.56.40,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-11-30T06:19:05.415331+00:00
78,FAILED,212.210.195.162,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-06-11T06:53:29.415331+00:00
78,FAILED,212.212.160.8,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-09-16T23:19:07.415331+00:00
79,SUCCESS,197.166.32.65,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-10-05T18:21:36.415831+00:00
79,SUCCESS,193.235.106.77,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-09-01T21:08:31.415831+00:00
79,FAILED,101.85.97.161,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-04-02T19:45:02.415831+00:00
80,FAILED,222.250.160.121,Mozilla/5.0 (Linux; Android 14),2025-04-02T00:13:59.415831+00:00
80,SUCCESS,214.75.184.136,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-02-14T13:40:55.415831+00:00
80,FAILED,40.207.28.131,Mozilla/5.0 (Linux; Android 14),2025-09-14T11:20:58.415831+00:00
81,FAILED,160.184.91.67,Mozilla/5.0 (Linux; Android 14),2025-04-05T03:11:38.415831+00:00
81,SUCCESS,22.212.253.231,Mozilla/5.0 (Linux; Android 14),2025-09-26T04:11:59.415831+00:00
82,FAILED,88.83.119.24,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-04-12T13:06:53.415831+00:00
